,authors_key,books_key
0,/type/author_role,/works/OL24625419W
1,/authors/OL7611420A,/books/OL32672715M
2,,/authors/OL9282181A
3,/type/author_role,/works/OL24625418W
4,/authors/OL9282181A,/books/OL32672713M
5,,/authors/OL9282178A
6,,/authors/OL9282179A
7,,/authors/OL9282180A
8,/type/author_role,/works/OL24625417W
9,/authors/OL9282178A,/books/OL32672712M
10,,/authors/OL9282177A
11,/type/author_role,/works/OL24625416W
12,/authors/OL9282177A,/books/OL32672711M
13,,/authors/OL9282176A
14,/type/author_role,/works/OL24625415W
15,/authors/OL9282176A,/books/OL32672710M
16,/type/author_role,/works/OL24625414W
17,/authors/OL9097657A,/books/OL32672709M
18,,/authors/OL9282175A
19,/type/author_role,/works/OL24625413W
20,/authors/OL9282175A,/books/OL32672708M
21,,/authors/OL9282174A
22,/type/author_role,/works/OL24625412W
23,/authors/OL9282174A,/books/OL32672706M
24,,/authors/OL9282173A
25,/type/author_role,/works/OL24625411W
26,/authors/OL9282173A,/books/OL32672707M
27,/type/author_role,/works/OL24625410W
28,/authors/OL3768657A,/books/OL32672705M
29,,/books/OL32672704M
30,,/authors/OL9282172A
31,/type/author_role,/works/OL24625409W
32,/authors/OL9282172A,/books/OL32672703M
33,,/authors/OL9282171A
34,/type/author_role,/works/OL24625408W
35,/authors/OL9282171A,/books/OL32672702M
36,,/works/OL24625407W
37,,/books/OL32672701M
38,/type/author_role,/works/OL24625406W
39,/authors/OL9111506A,/books/OL32672700M
40,/type/author_role,/works/OL24625405W
41,/authors/OL9111506A,/books/OL32672699M
42,/type/author_role,/works/OL24625404W
43,/authors/OL8229499A,/books/OL32672696M
44,/type/author_role,/works/OL24625402W
45,/authors/OL3982720A,/books/OL32672695M
46,/type/author_role,/works/OL24625401W
47,/authors/OL744438A,/books/OL32672694M
48,/type/author_role,/works/OL24625400W
49,/authors/OL7546294A,/books/OL32672693M
50,,/authors/OL9282170A
51,/type/author_role,/works/OL24625398W
52,/authors/OL9282170A,/books/OL32672684M
53,/type/author_role,/works/OL24625397W
54,/authors/OL9236699A,/books/OL32672634M
55,/type/author_role,/works/OL24625396W
56,/authors/OL8093300A,/books/OL32672633M
57,,/works/OL24625395W
58,,/books/OL32672632M
59,/type/author_role,/works/OL24625394W
60,/authors/OL6898992A,/books/OL32672631M
61,,/works/OL24625393W
62,,/books/OL32672630M
63,/type/author_role,/works/OL24625392W
64,/authors/OL9162728A,/books/OL32672629M
65,/authors/OL9280878A,/books/OL32672628M
66,/type/author_role,/works/OL24625391W
67,/authors/OL7546088A,/books/OL32672626M
68,/type/author_role,/works/OL24625390W
69,/authors/OL3303662A,/books/OL32672625M
70,/type/author_role,/works/OL24625389W
71,/authors/OL5910828A,/books/OL32672624M
72,,/authors/OL9282169A
73,/type/author_role,/works/OL24625388W
74,/authors/OL9282169A,/books/OL32672623M
75,/type/author_role,/works/OL24625387W
76,/authors/OL90082A,/books/OL32672622M
77,,/authors/OL9282168A
78,/type/author_role,/works/OL24625386W
79,/authors/OL9282168A,/books/OL32672621M
80,,/works/OL24625385W
81,,/books/OL32672620M
82,,/books/OL32672619M
83,,/authors/OL9282165A
84,,/authors/OL9282166A
85,,/authors/OL9282167A
86,/type/author_role,/works/OL24625384W
87,/authors/OL8356692A,/books/OL32672618M
88,,/works/OL24625383W
89,,/books/OL32672617M
90,/type/author_role,/works/OL24625382W
91,/authors/OL1103623A,/books/OL32672616M
92,/type/author_role,/works/OL24625381W
93,/authors/OL1103623A,/books/OL32672615M
94,,/authors/OL9282164A
95,/type/author_role,/works/OL24625380W
96,/authors/OL9282164A,/books/OL32672614M
97,,/authors/OL9282163A
98,/type/author_role,/works/OL24625379W
99,/authors/OL9282163A,/books/OL32672612M
100,,/authors/OL9282162A
101,/type/author_role,/works/OL24625378W
102,/authors/OL9282162A,/books/OL32672613M
103,/type/author_role,/works/OL24625377W
104,/authors/OL1103623A,/books/OL32672609M
105,/type/author_role,/works/OL24625376W
106,/authors/OL1103623A,/books/OL32672610M
107,/type/author_role,/works/OL24625375W
108,/authors/OL1103623A,/books/OL32672611M
109,/type/author_role,/works/OL24625374W
110,/authors/OL3956856A,/books/OL32672608M
111,/type/author_role,/works/OL24625373W
112,/authors/OL3018890A,/books/OL32672606M
113,/type/author_role,/works/OL24625372W
114,/authors/OL3018890A,/books/OL32672607M
115,,/authors/OL9282161A
116,/type/author_role,/works/OL24625371W
117,/authors/OL9282161A,/books/OL32672605M
118,/type/author_role,/works/OL24625370W
119,/authors/OL9079835A,/books/OL32672593M
120,/type/author_role,/works/OL24625369W
121,,/books/OL32672591M
122,/type/author_role,/works/OL24625368W
123,/authors/OL39124A,/books/OL32672560M
124,,/authors/OL9282159A
125,/type/author_role,/works/OL24625367W
126,/authors/OL9282159A,/books/OL32672553M
127,,/authors/OL9282158A
128,/type/author_role,/works/OL24625365W
129,/authors/OL8121983A,/books/OL32672537M
130,/type/author_role,/works/OL24625364W
131,/authors/OL9161203A,/books/OL32672531M
132,/type/author_role,/works/OL24625363W
133,/authors/OL261262A,/books/OL32672529M
134,,/authors/OL9282156A
